epoch,IC,VC_Vision,VC_Proj
0,0.031756666,0.070151694,0.056407817
1,0.086885579,0.114324674,0.107102916
2,0.16842705,0.126381725,0.169032842
3,0.224018097,0.146285355,0.216355324
4,0.270567536,0.154289365,0.254368812
5,0.306827515,0.167731434,0.283798456
6,0.330774337,0.170773968,0.30982402
7,0.363699585,0.17931354,0.328783661
8,0.385198563,0.186374545,0.328670353
9,0.417448759,0.191450194,0.344034821
10,0.43853876,0.185920194,0.352200091
11,0.442903161,0.195675954,0.357264042
12,0.480494231,0.197954729,0.362725198
13,0.472004324,0.194775835,0.378692508
14,0.476945579,0.204547986,0.38758108
15,0.502451777,0.202906042,0.396556914
16,0.50603646,0.221746519,0.40974462
17,0.51724726,0.216632321,0.413722306
18,0.522089243,0.221266448,0.418284148
19,0.518621027,0.226330429,0.423186302
20,0.51647836,0.218855008,0.436342955
21,0.518038273,0.226240918,0.435377568
22,0.518548548,0.226875648,0.432187974
23,0.510744274,0.235879675,0.444185317
24,0.530781209,0.237531871,0.445654064
25,0.518323421,0.227639601,0.449111402
26,0.521590352,0.228009567,0.458524078
27,0.518758118,0.23413676,0.455815971
28,0.512540936,0.241960987,0.454108268
29,0.523309767,0.224946514,0.460986555
30,0.519457817,0.226634756,0.46901077
31,0.535735726,0.242315769,0.46906355
32,0.522963047,0.250834674,0.469595373
33,0.521739244,0.232852235,0.468885511
34,0.528770149,0.234013259,0.466894686
35,0.512547791,0.247612655,0.469480574
36,0.498989552,0.252669215,0.472914398
37,0.521163702,0.236882523,0.479198217
38,0.513691902,0.237019613,0.476877332
39,0.543613255,0.249296576,0.475934952
40,0.539525926,0.255599022,0.47399509
41,0.526295185,0.242796555,0.473738134
42,0.531757057,0.256609648,0.475731909
43,0.53036654,0.257423162,0.481209993
44,0.522360146,0.245973274,0.483564347
45,0.522040784,0.252435386,0.47965464
46,0.514308274,0.260686964,0.483249992
47,0.537266672,0.245767221,0.475304127
48,0.529784024,0.254872054,0.475365371
49,0.513741076,0.261206567,0.481103957
50,0.52707696,0.251640737,0.47739023
51,0.527136266,0.254582167,0.479997754
52,0.517422438,0.260716289,0.483552516
53,0.542665958,0.245171919,0.489437163
54,0.523686945,0.24816899,0.486356288
55,0.528770983,0.257055521,0.487382472
56,0.514522612,0.253397554,0.480535865
57,0.527308285,0.25690487,0.478610128
58,0.525082111,0.263601542,0.484253794
59,0.526087284,0.247265235,0.487086028
60,0.53578949,0.251873165,0.490120649
61,0.5282619,0.260350317,0.48780781
62,0.531804383,0.250703961,0.491801292
63,0.531763792,0.259996057,0.483895004
64,0.538845241,0.263135701,0.482521474
65,0.514637649,0.252376467,0.488683403
66,0.520239174,0.254383832,0.49113068
67,0.518213689,0.260609418,0.494618207
68,0.529269755,0.26917693,0.490424931
69,0.526924908,0.262984604,0.492512792
70,0.534573734,0.264009863,0.488138318
71,0.534361959,0.265723795,0.491541505
72,0.538958073,0.270356953,0.493181586
73,0.529983997,0.259931833,0.497466058
74,0.529660106,0.261991233,0.491483659
75,0.533908129,0.265109867,0.491015464
76,0.534933984,0.269785613,0.489941448
77,0.535125732,0.267386377,0.48859942
78,0.53103441,0.268041402,0.492606819
79,0.540979803,0.270164549,0.494248301
80,0.536017597,0.271938115,0.498190284
,0.543613255,0.271938115,0.498190284
