epoch,IC,VC_Vision,VC_Proj
0,0.020107865,0.102569088,0.060843516
1,0.145627946,0.174896747,0.163211465
2,0.294655383,0.214483842,0.283942848
3,0.355598778,0.238913804,0.328281999
4,0.39043045,0.261920124,0.354283094
5,0.437494278,0.264168352,0.38445875
6,0.45428735,0.264532745,0.424756378
7,0.49318549,0.285488814,0.443366259
8,0.512358487,0.290471464,0.427987963
9,0.532454312,0.28478083,0.443739295
10,0.537053227,0.306206405,0.44442597
11,0.554944515,0.305101514,0.446234792
12,0.565626442,0.307406992,0.45366472
13,0.558729112,0.31344831,0.461899251
14,0.578760087,0.309866279,0.469507486
15,0.586698472,0.314768165,0.466662496
16,0.59497565,0.316795647,0.483944535
17,0.597292125,0.31939593,0.476317823
18,0.596668899,0.32365337,0.481445074
19,0.59885782,0.321010798,0.482613057
20,0.5959512,0.326634169,0.481212258
21,0.608391702,0.330987602,0.492165267
22,0.597366452,0.318901062,0.489623487
23,0.601481795,0.330560714,0.506565034
24,0.611796081,0.334232032,0.496034533
25,0.601173401,0.324732214,0.497200102
26,0.608839869,0.326799929,0.492750317
27,0.590053022,0.338889092,0.496569991
28,0.603883982,0.338944823,0.506064057
29,0.607782662,0.344627768,0.502360225
30,0.601324379,0.335635483,0.519459844
31,0.620780408,0.340787351,0.505899608
32,0.593630612,0.344359905,0.50704515
33,0.600837052,0.343938529,0.502363384
34,0.607245982,0.338558793,0.507699192
35,0.601320505,0.347030133,0.511861086
36,0.586701214,0.348814726,0.512773335
37,0.599223197,0.352375478,0.522187769
38,0.616336226,0.342656225,0.513102472
39,0.592075586,0.350182563,0.515946329
40,0.60462898,0.351682007,0.509997129
41,0.602071643,0.345111936,0.515295327
42,0.600325882,0.350524306,0.516921997
43,0.604226589,0.351945609,0.5172351
44,0.598180056,0.343610585,0.528764606
45,0.614153683,0.34913373,0.518064201
46,0.618626952,0.351890892,0.521592736
47,0.602797329,0.343050331,0.514730513
48,0.621680856,0.351563722,0.520630181
49,0.610803008,0.352886081,0.523021042
50,0.613142848,0.342838168,0.52424854
51,0.603692949,0.35279876,0.52367425
52,0.598586857,0.350913167,0.522602379
53,0.630886853,0.360447198,0.540948927
54,0.610469759,0.343981564,0.523554444
55,0.600879729,0.355521888,0.526672721
56,0.609269917,0.344467521,0.519510269
57,0.638031185,0.356202543,0.525539637
58,0.603487313,0.355643719,0.526485264
59,0.612133026,0.360727251,0.527531922
60,0.616327167,0.34788385,0.537559927
61,0.617915332,0.358313143,0.526684463
62,0.609026253,0.34648937,0.52954632
63,0.606957734,0.359860241,0.522598803
64,0.626599133,0.360665649,0.52818352
65,0.615068913,0.364113867,0.53034544
66,0.610218644,0.350173444,0.530712426
67,0.62152034,0.361547828,0.541276872
68,0.615770102,0.362358958,0.528723896
69,0.606560946,0.367241234,0.531119823
70,0.621263146,0.352524579,0.530564129
71,0.62430954,0.362406045,0.539574504
72,0.618583024,0.366897523,0.534098804
73,0.617462695,0.371621102,0.547472119
74,0.605488241,0.353144258,0.530710399
75,0.619331479,0.367658228,0.534722388
76,0.61793083,0.366514593,0.528086245
77,0.610844076,0.372524142,0.534379482
78,0.624716938,0.352607459,0.535924554
79,0.624539971,0.369019508,0.534744322
80,0.599849641,0.368520856,0.549261451
,0.638031185,0.372524142,0.549261451
